idName,gender,InvalsiTot,WechslerTot,respAcc,OpennessTot,AgreabTot
acmtspru,F,12,93,31,17,20
acxreifd,F,5,93,28,26,28
aczslfmy,M,3,85,25,34,34
adhntzfg,M,2,69,23,11,10
afdoleyc,F,7,82,27,16,17
afuiotch,F,1,93,26,40,35
ahtgrqlv,F,3,91,31,21,14
ajehfurq,F,2,73,19,15,14
ajrmwvfl,F,7,113,35,17,24
aklxyozb,M,6,82,30,27,18
ameykgtr,F,4,85,28,8,14
amfpujkn,M,9,115,38,8,10
amhotkrw,F,9,103,29,31,24
amoynpdq,F,6,66,25,11,13
amvpnlro,F,8,94,28,16,19
anojstbw,F,1,51,25,12,10
antvzrmx,F,12,118,31,33,34
aobscikw,M,9,98,26,32,28
aocpmsjt,F,1,78,26,13,12
apybicnz,F,6,97,28,22,18
aqlfbyng,F,6,86,27,18,16
aqtfymnb,F,11,91,34,24,24
aszncybk,F,10,113,32,21,22
atvnxhog,F,10,104,33,16,13
auhowtdm,M,12,120,34,26,20
ayovczsj,F,7,82,24,22,19
bcfwgqkh,F,7,94,31,23,21
bdquxnew,F,2,88,36,23,18
bdwyklqf,F,11,76,27,32,29
besvpjyc,F,5,95,33,18,18
bfexirhl,M,8,91,31,21,19
bghniuac,F,8,89,30,8,10
bgjievmn,F,2,87,24,29,29
bgstxmiy,F,6,95,33,26,23
bgtexkdi,F,7,85,25,24,32
bhjnekoy,M,7,82,24,17,17
biuzcxnd,M,9,108,30,38,23
bjfptknr,F,9,106,37,21,23
bjguxhwd,M,6,99,32,22,18
blfjikps,M,6,96,26,32,25
bliznodg,F,3,89,33,9,8
bmneqogh,M,0,63,18,21,20
bmqfckja,M,2,107,34,17,18
bmsyglzt,F,5,81,27,26,18
bnkxzvmo,M,9,98,32,26,24
bojsnzla,F,5,79,29,31,31
boqjcmih,F,6,121,36,21,16
bpnotwmx, ,1,75,28,11,10
bpovkhql,F,6,77,22,21,15
bpqzhlgf, ,11,114,31,15,11
brjvfawe,F,11,84,26,9,11
btnlqewk,m,6,73,27,22,19
bvqztlcf,F,2,105,29,29,26
bwrupaks,M,3,91,26,20,19
byqtzpos,M,4,50.3,17,16,14
bzcakpwt,M,7,93,29,28,23
bzeyrgoc,F,3,78,24,28,22
bzmwxvne,F,7,72,24,14,12
bzsctlxo,M,4,74,27,15,17
bzsqdnvp,M,4,101,33,14,11
cajwrgmi,M,12,83,29,13,11
calomjpw,F,10,78,30,13,12
cemytdng,F,9,132,36,20,21
cgrlixnt,F,3,85,29,9,17
cgwhkixb,F,8,104,27,15,13
chdbxqga,F,8,78,29,29,28
chnpjmru,F,10,110,30,31,29
cijbdngm,F,12,103,31,18,15
cjdwpgyb,F,8,101,27,21,20
cjqurely,M,7,83,26,23,12
ckgaytnb,F,11,100,28,12,10
ckobwxra,F,9,53,22,27,23
ckwhsyeu,M,2,96,29,28,27
clyesrjq,F,10,110,33,8,9
cmpodwix,F,3,95,34,11,12
cowiekud,M,10,103,26,20,13
cpbilqza,F,8,70,20,17,11
cpdijhvo,F,2,68,29,9,9
cqpiogsz,M,8,115,33,15,12
crwamhjp,M,3,63,22,19,11
csigtray,M,1,81,21,11,14
ctleprhy, ,6,62,26,23,31
cukthrgi,M,0,87,33,24,24
cvdxmzlk,M,9,107,32,17,18
cygkijhn,F,5,72,26,18,13
cyrnzhpe,M,3,95,27,15,11
czbtuqnl,F,4,90,30,40,38
datbfxpo,F,5,87,24,25,23
dcaosvlu,M,6,67,24,24,21
dehkotcz,F,4,74,24,9,9
dfrszgpk,M,2,88,26,22,18
dfwunyxb,F,4,105,36,12,14
diugawpk,F,7,80,27,16,11
djglupeb, ,4,82,27,8,9
djokxghe,F,7,110,33,38,37
dkfonmrt,F,12,112,35,22,17
dkxwcsmo,F,6,91,32,15,17
dlahnziv,M,8,126,33,20,25
dluzacfo,F,11,91,29,10,13
dmvkiyzt,M,6,101,33,14,19
dnalxtgu,F,5,96,28,17,18
dnectoiy,F,6,100,34,20,15
dnkuhbmt,M,1,95,33,35,25
doxpsima,F,7,149,38,17,21
dpeanosx,M,6,91,28,22,15
dqlrebvc,M,2,96,33,23,11
drgitbho,F,9,104,33,24,19
drsujmle,M,7,90,29,21,17
dsntjocm,F,6,75,28,21,20
dvqacngw,M,0,93,31,28,29
dwrqgsnb,M,9,99,33,22,21
dytifjro,F,6,70,27,11,13
dzoimbvp,M,0,99,32,8,10
dzpiogyc,F,4,92,31,35,33
eaytjlfi,F,0,110,34,36,23
ecgntjym,F,12,138,39,19,28
ecqutzxs,F,10,99,32,22,20
edaxscbw,M,6,98,27,22,28
edjqbxua,F,3,91,25,26,18
eduhamqy,M,5,103,31,12,10
eglzbujs,F,12,101,32,10,11
egocyvdm,M,8,116,32,31,34
eipvfznh,M,11,119,36,26,23
eizomnul,M,1,100,32,22,18
ekowrtdi,M,10,77,23,13,13
ekuimxhw,F,5,73,24,27,25
elktaqzn,F,3,85,31,8,10
emtwlzyk,M,0,67,25,22,19
enbrozck,M,3,72,24,11,10
epotynvl,M,4,101,30,34,26
eptmawdz,F,0,100,34,33,30
epvoixrz,F,2,78,27,34,31
eqlciwjb,M,1,53,20,20,23
eqojmgba,M,8,117,30,24,27
erhsmnlk,M,10,98,38,11,11
esctjnml,F,7,120,33,14,18
estlwygb,F,0,75,30,15,12
etpkngud,M,5,94,34,27,23
exzhtdbs,F,11,89,26,17,21
ezjmgsvt,F,5,89,27,18,19
faikxhdb,F,9,97,27,31,25
fanktsmh,M,10,109,31,27,19
faolhzxc,M,11,75,33,18,20
fbcvwuye,F,1,75,23,8,8
fbxmchpz,F,5,69,27,14,17
fcorzeys,F,11,92,22,27,31
fdaixneo,F,4,71,26,21,15
fihteckr,F,2,99,32,13,17
fkxsurcy,F,1,101,34,23,22
fljzpviy,M,10,101,30,12,10
fmjyovwx,M,9,71,26,12,10
fmvnzawo,F,3,79,27,12,10
fnrkimzg,F,12,115,31,28,24
fouxmqtn,F,3,82,23,23,24
fpngastz,M,8,70,27,16,21
fugebzix,M,5,63,21,11,14
fvxdnqsh,M,7,93,33,30,28
fwecvzja,F,10,63.11,18,19,14
fwphrqgu,F,11,83,21,30,23
gchpyuxz,M,10,72,24,29,34
gcwitlqk,M,6,121,34,26,21
gcxlkwra,M,11,88,26,22,16
gdihlqam,F,4,73,23,20,21
ghtpqnwo,M,6,82.9,26,33,39
ghutpsre,F,4,70,26,24,22
gidmfqkp,M,3,78,25,14,18
gjruvwbi,F,7,98,32,13,13
glvybiaz,F,4,117,32,26,20
gmpncuwj,F,6,99,28,37,38
gncpyetj,M,11,105,31,32,30
gnedtzip,M,11,89,30,20,18
gnjplhed,M,4,99,35,16,16
gnydxqbi,M,2,107,33,25,21
gnzaekpu,M,9,85,22,21,19
goknyard,F,5,84,32,17,20
gomlcisz,F,8,69,29,16,18
gotiwbxp,M,4,59,17,15,18
gpsnkyih, ,5,95,27,10,13
grbwtkam,M,6,80,27,9,11
grdevkjx,M,5,108,33,35,27
grdjnibe,F,3,96,34,16,16
gsfhmwrl,M,9,88,30,12,14
gshawcyd,F,8,137,38,28,18
gsmpnboj,F,2,82,24,10,11
guwdqkfv,M,2,69,31,33,26
gxtewojr,M,9,91,30,33,25
gyehufsn,F,5,92,30,9,10
gyjbdthl,M,4,85,30,17,12
gzdyxeob,M,6,89,34,16,15
hbqpmuie,M,6,107,33,33,30
hepbgznd,M,8,77,24,28,26
hgrtamop,F,7,91,36,29,35
hgxtnqde,F,4,65,27,21,25
hkiqdyvl,M,2,85,24,13,14
hlpmxatu,F,3,86,29,34,38
hlurnxqa,F,6,102,30,25,34
hnixymgq,F,0,91,32,15,11
hnwqceiu,F,8,83,24,24,17
hoqjxanw,M,8,100,31,24,26
hrbfuxsc,F,0,85,26,19,21
hudswcnj,F,7,103,35,13,12
hvijplky,F,8,89,34,12,12
hzsnpovc,M,0,107,30,22,21
hztfgjui,F,5,104,30,17,19
iacpszov,M,7,104,29,27,18
iahlpkdo,F,8,101,34,24,20
ideosbth,F,4,71,25,19,11
igltuchz, ,1,109,33,20,23
ihmjxpsg,M,9,83,37,19,15
ihqaszdr,F,2,69,26,12,15
ijgtqhwy,M,1,96,33,8,9
ijxfghmv,M,7,80,15,39,40
iksnthom, ,2,108,32,18,15
ilqndvht,F,10,79,27,17,18
iltajnyh,F,3,94,29,32,30
inbltuag,F,2,116,31,14,16
iojdfyng,F,10,70,30,21,26
ipqczgtm,F,4,73,28,27,32
isjhemad,M,8,69,31,30,23
itlouvpm,F,5,78,25,29,34
itwojqxa,F,4,75,26,18,12
ityxawbq,M,7,75,33,14,13
ivhtzjap,M,7,95,31,11,10
ivqmgaeh,F,9,97,28,14,17
ixtaqzcd,F,9,128,38,34,34
ixtlkozf,F,6,91,33,16,11
iynwqcuz,M,7,110,34,16,14
iyzxdsga,M,5,78,23,35,36
jaeiucsm,F,6,68.11,25,35,21
jcvtdfwx,M,6,85,25,14,12
jdoeprlz,F,5,75,30,18,22
jfsmptah,M,6,72,31,10,12
jfwrxknb,M,7,88,31,16,18
jhpmntqd,F,9,80,29,32,29
jimyuwrl,F,3,86,33,36,32
jinvmloe,M,4,108,33,32,30
jkafmxho,M,3,74,28,17,22
jloyeihg,M,7,51,20,18,17
jntrzuiv,M,6,93,24,21,18
jprcmqfv,M,4,91,24,14,8
jrqzande,M,2,89,23,9,11
jrwqgnut,M,6,94,33,22,21
jscanudl,M,1,69,31,11,9
jstlrcfd,F,1,105,31,24,15
jungvxac, ,4,95,30,23,24
jusgqilb,F,8,94,24,22,21
jvldngth,M,8,111,33,23,25
jwetfmci,M,4,90,33,16,11
jwpaixeb,F,11,54,24,17,13
jxahksnw,F,2,109,32,26,33
jxspvmtf,M,10,122,38,29,33
jyowhzpa,M,1,83,27,12,11
jywrbnox,F,4,100,27,18,10
jzxvswde,F,4,128,36,27,22
kagwycst,F,4,67,30,20,17
kdqgfwaz,M,7,64,23,19,12
kdygczao,M,3,66,25,13,14
kfxtzasj,F,5,124,37,26,32
kgyudwan,F,3,88,27,36,29
kiopzldu,M,8,84,22,10,11
kmzxubai,F,5,84,28,15,13
knhbadjf,F,7,102,31,34,29
knsygcaw,F,0,87,34,8,9
knzdebsg,M,6,105,30,34,21
kogalynm,M,7,93,27,13,15
komjviux,M,3,85,30,33,29
koyelwfx,M,9,66,20,14,14
kqbmveid,F,2,94,30,0,0
kquzsrxc,M,7,110,33,25,30
kslimuvd,M,3,117,32,19,21
kspiqnxg,M,7,85,26,13,17
kvybjode,F,2,77,34,29,25
kwmixyhc,F,7,84,25,18,15
kwruxzny,F,2,85,21,30,21
kxrhqpud,M,9,110,26,24,18
