"","subjName","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25"
"1","gsqlpfh","ezw9o",".","-0.28389","n","0.74579","07j8","u","i","1.55283","o780","0.14158","0.23889","e847","w33","0.66963","1dcjk","-0.34718","s3d8","0.77587","91","vwt","3h8","x29","-0.15553","37f"
"2","vmbowpr","5760m","-1.21461","-0.4195","9kl","-1.36515","5tb7","-0.77917","-1.33497","0.25216","mrw1","-0.87476","-0.82342","20a0","9c3","-0.89976","36fs5","-2.05705","281v","-1.46953","29","0wm","g0e","nxt","0.74538","9i3"
"3","uvjgiza","w9u72","0.34113","-1.47812","749","0.48981","nrs0","0.5068","1.02861","0.20639","6j8q","0.65973","-2.3933","9k6f","361","-0.96109"," ","-1.05151","b10f","0.62223","36","j94","174","6zl","-0.34084","5c5"
"4","refmqxl","z4536","-0.5539","-0.88757","101","0.33632","8t4c","-1.09688","-2.63377","-1.85624","km64","-0.26035","0.63358","lrg4","z5w","-0.45473","k49x4","-2.25457","8e4s","-1.05012","b8","35u","4pr","0xu","-2.31353","o7y"
"5","adfplwm","y8a7o","-1.05173","0.08107","x0g","-0.84988","z907","-0.51652","0.93069","0.40834","59e1","0.05129","0.83105","6063","6z3","1.00868","etwnq","-0.30443","vgxp","1.10474","i0","ze4","4fr","d0m","-1.89669","1fy"
"6","vhmncxk","o1h26","-0.20351","0.40014","506","1.33172","2v17","1.41182","1.44411","0.77707","eqgw","0.23292","0.557","00sy","01q","0.97586","3n1vd","-0.32018","c9yn","-0.19229","fm","e4v","450","k","0.83757","xu2"
"7","hrlfinb","6c987","1.81984","-0.10463","8b4"," ","d6g4","0.37546","0.7977","-0.21474","h337","1.00167","1.66255","t251","h23","0.55189","g6106","2.03267","k05o","-0.33909","q1","l","5f3","v3i","-0.66343","0n1"
"8","tanqyze","mk113","-0.35468","0.47391","9uv","-0.55265","95u7","0.32329","0.55161","0.39223","i84g","-0.65639","-0.34126","rk1v","m5r","0.51689","37p1b","-0.17815","08m7","-0.2482","32","280",".","ai7","0.50072","6dk"
"9","shdaewj","g6nst","-0.82817","0.13035","328","0.74825","ua50","0.79314","1.36344","-0.19385","qo88","-0.03482","0.26736","485z","8m8","-0.17203","0a318","1.27216","40y6","0.21399","y6","mg7","ha2",".","-0.07585","2j3"
"10","nwiugrq","elvy5","0.76445","0.93458","5lp","-0.65209","gh29","2.1237","1.00628","0.56067","2t31","0.31832","a","21f2","j4r","0.26798"," ","-1.47745","0ucx","-0.49518","37","7pr","pb2","6a4","0.83961","7a3"
"11","lcwjynp","7h0qe","1.70026","0.37575","th1","-0.13976","7156","0.8587","0.00635","0.08612","8gr3","2.11939","1.23471","y8dx","un5","1.00136","z6ow8","1.1042"," ","-1.27574","0o","v41","d1s","29t","1.03549","85x"
"12","uekmnsa","526i4","-0.02627","0.55583","9m8","0.86724","8ild","0.17585","0.86132","0.74642","8u53","2.04653","1.96386","y0tu","74p","-0.31611","q324b","0.16616","wt02","-0.46066","9b","q4k","744","8i5","-0.03378","fq4"
"13","ctauvrs","m85yv","0.05971","0.27448","726","0.49946","2a23","-2.29134","1.00931","2.27932","3270","-0.13578","1.21487","8o6n","534","-0.41753","82674","2.62942"," ","1.90402","j","q6u","7dk","1b2","0.14028","1i2"
"14","acuzmfj","kz180","1.51765","-1.63555","w18","0.60182","ahgr","-0.77323","-1.07509","-0.03854","z7d6",".","."," ","27k","-0.04","0qy18","0.17417","ic3e","-0.79852","v3","i7m","81r","y","0.02899","23j"
"15","jbhpuft","4a1p9","0.29671","-1.97668","fh4","-1.38962","i8ra","-1.10961","0.7171","1.08377","7229","1.3584","1.09605","2536","t80","-0.73003","682xo","-1.17502","89g7","-0.375","1p","04z","s97","81v","-0.38736","se9"
"16","qehgfpi","85962","-1.83992","-1.5484","f3k","-1.93227","728t","-1.23305","d","-0.57077"," ","-1.17478","-0.8664","w52d","689","-1.95064","6dju4","0.51653","kqwr","-0.26423","n1","uef","582","64n","0.68757","417"
"17","mkquvwa","9kq7b","1.12984","1.03348","hn8","0.77758","vq3m","1.35971","0.34674","-0.45037","c","-0.95885","-0.75017"," ","z2n","0.75053","i0160","-0.11246","09dp","1.91342","mo","431","6x5","izy","-0.69966","y48"
"18","owvfxab","54402","0.25461","-1.53408","67y","0.20792","ji53","0.5434","-1.3154","-0.87982","xbn6","-0.48299","-1.58323","m278","6df","-0.89421","43hzv","-0.72292","6k57","-1.26985","23","qz2","k5q","819","-0.05002","987"
