"","id","age","group","T0","T1","T2"
"1","Subj_1",9.8,0,48,45,44
"2","Subj_2",9,0,23,26,29
"3","Subj_3",7.3,0,43,39,39
"4","Subj_4",8.5,0,44,46,43
"5","Subj_5",8.4,0,39,34,40
"6","Subj_6",8.1,0,9,20,13
"7","Subj_7",10,0,25,31,21
"8","Subj_8",7.5,0,26,28,27
"9","Subj_9",9.4,0,26,34,36
"10","Subj_10",7.2,0,47,45,45
"11","Subj_11",8.2,0,43,43,40
"12","Subj_12",7.4,0,17,26,23
"13","Subj_13",7.6,0,16,15,13
"14","Subj_14",9.5,0,40,30,27
"15","Subj_15",9.2,0,30,29,33
"16","Subj_16",7.8,0,28,24,29
"17","Subj_17",8.5,0,29,35,38
"18","Subj_18",7.2,0,21,15,19
"19","Subj_19",8.1,0,39,37,34
"20","Subj_20",9.9,0,20,21,24
"21","Subj_21",8.9,0,28,35,28
"22","Subj_22",9,0,37,33,37
"23","Subj_23",7.9,0,26,35,29
"24","Subj_24",8.2,0,38,37,45
"25","Subj_25",10,0,35,38,25
"26","Subj_26",9.6,0,42,40,38
"27","Subj_27",9.9,0,45,43,44
"28","Subj_28",9.4,0,22,28,32
"29","Subj_29",9.3,0,18,19,21
"30","Subj_30",7.8,0,31,31,34
"31","Subj_31",9.3,0,29,25,19
"32","Subj_32",10,0,26,25,24
"33","Subj_33",7.9,0,29,27,24
"34","Subj_34",8.2,0,27,22,26
"35","Subj_35",9.4,0,36,38,41
"36","Subj_36",7.2,0,40,41,38
"37","Subj_37",8.1,0,41,42,44
"38","Subj_38",8.3,0,30,31,25
"39","Subj_39",7.5,0,48,46,43
"40","Subj_40",8.7,0,25,27,29
"41","Subj_41",9.9,0,49,46,49
"42","Subj_42",10,0,45,36,43
"43","Subj_43",7.5,0,30,23,19
"44","Subj_44",8.6,0,20,28,28
"45","Subj_45",8.2,0,14,15,16
"46","Subj_46",9,0,19,23,20
"47","Subj_47",7.8,0,12,10,14
"48","Subj_48",8.4,0,43,47,44
"49","Subj_49",7.5,0,39,35,39
"50","Subj_50",8.1,0,25,27,25
"51","Subj_51",9.2,0,41,31,37
"52","Subj_52",8.5,0,27,26,24
"53","Subj_53",7.2,0,47,46,50
"54","Subj_54",9.4,0,26,23,31
"55","Subj_55",8.3,0,29,32,29
"56","Subj_56",9.9,0,37,36,39
"57","Subj_57",7.8,0,31,41,36
"58","Subj_58",9.5,0,33,35,33
"59","Subj_59",7.2,0,9,7,11
"60","Subj_60",9.7,0,22,22,18
"61","Subj_61",8.4,0,35,32,41
"62","Subj_62",7.3,0,25,31,31
"63","Subj_63",8,0,19,23,19
"64","Subj_64",9.5,0,40,38,34
"65","Subj_65",7.8,0,23,22,27
"66","Subj_66",8.8,0,33,36,36
"67","Subj_67",9.5,0,14,18,17
"68","Subj_68",7.2,0,32,29,29
"69","Subj_69",9.1,0,35,38,31
"70","Subj_70",9.1,0,35,35,36
"71","Subj_71",8.4,0,31,30,30
"72","Subj_72",8.3,0,31,32,36
"73","Subj_73",8.7,0,27,25,25
"74","Subj_74",9.8,0,34,30,31
"75","Subj_75",7.7,0,41,37,35
"76","Subj_76",7.7,1,42,45,41
"77","Subj_77",8.3,1,28,39,42
"78","Subj_78",8,1,27,36,36
"79","Subj_79",9.6,1,26,33,28
"80","Subj_80",7.5,1,19,17,15
"81","Subj_81",8.5,1,31,31,24
"82","Subj_82",8.3,1,42,44,44
"83","Subj_83",8.7,1,45,42,39
"84","Subj_84",9,1,32,39,31
"85","Subj_85",9.9,1,32,35,31
"86","Subj_86",7.7,1,30,30,30
"87","Subj_87",7.7,1,45,44,43
"88","Subj_88",9.4,1,32,37,39
"89","Subj_89",9.5,1,45,47,44
